,doc1_1,word1,doc1_2,word2,bidirectional_hash
5819,1112,4489,1112,4007,2855829219479798256
2463,470,4489,470,4007,2855829219479798256
6894,1311,4905,1311,2146,2884708310274666601
4678,891,4905,891,2146,2884708310274666601
8612,1635,3807,1635,4626,2918175001818765183
5208,995,3807,995,4626,2918175001818765183
2225,425,4939,425,227,2938970452790418606
8661,1645,4939,1645,227,2938970452790418606
2965,567,2053,567,4939,2975440604454434192
9618,1826,2053,1826,4939,2975440604454434192
3383,645,4954,645,1153,2985908507247978017
10200,1936,4954,1936,1153,2985908507247978017
4828,921,4954,921,1153,2985908507247978017
7008,1332,4954,1332,1153,2985908507247978017
199,38,4954,38,1153,2985908507247978017
10199,1936,1604,1936,4954,2994488266730886048
198,38,1604,38,4954,2994488266730886048
3382,645,1604,645,4954,2994488266730886048
4827,921,1604,921,4954,2994488266730886048
7007,1332,1604,1332,4954,2994488266730886048
4747,905,4131,905,4497,3042167171422231908
6153,1169,4131,1169,4497,3042167171422231908
8450,1602,3399,1602,4827,3074200524336549906
520,98,3399,98,4827,3074200524336549906
7768,1475,4905,1475,3183,3165919556541531768
4935,942,4905,942,3183,3165919556541531768
5700,1089,4905,1089,3183,3165919556541531768
2209,423,3140,423,4948,3271089806592595968
9185,1744,3140,1744,4948,3271089806592595968
2960,566,4303,566,4641,3628288267076000944
4487,854,4303,854,4641,3628288267076000944
1101,211,3589,211,4977,3649263368765365606
9706,1843,3589,1843,4977,3649263368765365606
7051,1341,4856,1341,4057,3799253394226747833
7546,1434,4856,1434,4057,3799253394226747833
8697,1652,4856,1652,4057,3799253394226747833
9738,1850,4600,1850,4465,3834257705274040625
9296,1764,4600,1764,4465,3834257705274040625
888,169,4503,169,4876,4607689619437472119
8867,1685,4503,1685,4876,4607689619437472119
4517,860,4503,860,4958,4847376949881031511
6983,1327,4503,1327,4958,4847376949881031511
2216,424,4694,424,4904,5115149286808721248
5654,1079,4694,1079,4904,5115149286808721248
